# algorithm_results.txt
# x 2155 5560 22362 50802 82402 110011 240015 264498 325462 337791
106 12.41 11.06 13.35 11.44 12.82 10.87 14.96 12.11 14.93 11.59
107 12.42 11.08 13.39 11.46 12.89 10.92 14.97 12.12 14.95 11.71
108 12.5 11.17 13.4 11.49 12.89 10.93 14.99 12.24 14.98 11.71
109 12.5 11.21 13.42 11.54 12.9 10.95 15.02 12.32 14.99 11.78
110 12.52 11.24 13.42 11.6 13.01 10.96 15.02 12.33 15.01 11.81
111 12.61 11.48 13.45 11.61 13.12 10.97 15.03 12.37 15.17 11.82
112 12.71 11.58 13.45 11.7 13.24 11.1 15.11 12.38 15.3 11.94
113 12.73 11.68 13.48 11.72 13.27 11.11 15.13 12.39 15.3 12.03
114 12.77 11.68 13.49 11.73 13.29 11.13 15.2 12.4 15.32 12.09
115 12.97 11.71 13.57 11.76 13.44 11.13 15.22 12.41 15.38 12.14
116 13.13 11.81 13.6 11.78 13.49 11.15 15.28 12.48 15.38 12.39
117 13.28 11.88 13.6 11.81 13.5 11.2 15.35 12.51 15.5 12.4
118 13.63 11.91 13.62 11.84 13.62 11.25 15.35 12.76 15.51 12.41
119 13.66 11.92 13.62 11.9 13.67 11.42 15.35 12.8 15.52 12.64
120 13.73 12.18 13.65 11.93 13.73 11.45 15.36 12.81 15.53 12.9
121 13.81 12.37 13.69 12.12 13.73 11.51 15.37 12.81 15.57 12.94
122 13.86 12.5 13.69 12.14 13.81 11.53 15.38 12.88 15.57 13.03
123 14.02 12.52 13.8 12.27 14.26 11.56 15.41 12.91 15.62 13.22
124 14.12 12.57 13.87 12.27 14.74 11.6 15.43 12.97 15.64 13.37
125 14.44 12.77 13.92 12.42 14.86 11.62 15.46 13.09 15.65 13.45
126 14.46 12.78 14.11 12.46 15.12 11.65 15.57 13.1 15.71 13.54
127 14.53 13.02 14.22 12.61 15.57 11.65 15.59 13.15 15.79 13.63
128 14.73 13.05 14.45 12.64 15.67 11.71 15.6 13.15 15.85 13.69
129 14.75 13.12 14.65 12.65 16.19 11.75 15.6 13.16 15.9 13.85
130 14.85 13.15 14.7 12.66 16.22 11.78 15.61 13.2 15.92 13.91
131 15.43 13.42 14.72 12.66 16.27 11.79 15.68 13.29 16.05 14.01
132 15.53 13.52 14.95 12.73 16.36 11.81 15.69 13.38 16.09 14.21
133 15.53 13.57 14.99 12.76 16.41 12.04 15.74 13.39 16.1 14.48
134 15.54 13.59 14.99 12.86 16.45 12.11 15.78 13.44 16.25 14.57
135 15.55 13.65 15.0 13.1 16.62 12.13 15.79 13.47 16.41 14.59
136 15.62 13.78 15.13 13.15 16.76 12.2 15.86 13.85 16.52 14.67
137 15.68 13.81 15.2 13.32 16.9 12.29 15.87 14.05 16.58 15.02
138 15.87 14.06 15.21 13.37 16.98 12.31 16.0 14.11 16.64 15.04
139 16.03 14.3 15.22 13.53 17.05 12.37 16.02 14.18 16.76 15.2
140 16.09 14.49 15.31 13.6 17.44 12.84 16.04 14.2 16.78 15.21
141 16.91 14.53 15.61 13.65 17.91 12.9 16.17 14.29 16.89 16.03
142 17.07 15.4 15.66 14.88 18.19 13.2 16.26 14.72 16.98 16.61
143 17.67 15.88 15.95 14.93 18.34 14.56 16.34 15.21 17.04 16.71
144 17.78 16.5 17.28 15.5 18.82 14.86 16.37 15.46 17.15 16.74
145 17.96 17.23 18.14 15.57 19.21 15.19 16.52 15.54 17.16 17.37
146 18.87 17.48 18.28 16.28 19.41 15.56 16.6 16.04 17.39 18.15
147 19.02 17.65 19.05 16.29 19.91 16.23 16.81 16.23 18.0 18.19
148 19.8 18.08 19.5 17.48 21.21 16.67 18.27 16.26 18.06 18.95
149 24.98 24.57 25.8 22.56 28.11 23.33 20.29 20.38 19.07 24.87


# withoutmfcc_results.txt
# x 2155 5560 22362 50802 82402 110011 240015 264498 325462 337791
1 2.57 1.31 1.21 1.47 1.58 1.55 2.28 1.51 3.33 0.97
2 3.16 1.46 1.23 1.72 1.78 2.12 2.33 1.66 3.36 1.02
3 3.5 1.57 1.27 1.9 2.11 2.4 2.5 1.78 3.41 1.04
4 3.9 1.69 1.28 1.93 2.17 2.43 2.52 1.8 3.78 1.07
5 4.02 1.7 1.38 2.01 2.36 2.44 2.56 1.8 3.93 1.11
6 4.1 1.71 1.4 2.02 2.38 2.44 2.68 1.99 3.93 1.44
7 4.11 1.74 1.42 2.06 2.45 2.45 2.71 2.0 3.98 1.45
8 4.12 1.8 1.43 2.06 2.62 2.48 2.73 2.3 4.07 1.74
9 4.21 1.87 1.44 2.22 2.65 2.55 2.77 2.8 4.08 1.76
10 4.29 1.92 1.61 2.45 2.84 2.56 2.81 2.82 4.14 2.0
11 4.29 2.08 1.65 2.48 2.89 2.64 2.85 3.18 4.16 2.33
12 4.34 2.08 2.04 2.57 3.08 2.65 2.95 3.23 4.16 2.44
13 4.35 2.1 2.05 2.73 3.4 2.8 2.96 3.24 4.25 2.56
14 4.4 2.12 2.11 2.75 3.5 2.84 2.98 3.29 4.31 2.67
15 4.47 2.27 2.28 2.83 3.64 2.98 3.0 3.31 4.35 2.7
16 4.48 2.3 2.36 2.89 3.69 3.08 3.01 3.4 4.37 2.71
17 4.5 2.37 2.79 2.91 3.7 3.12 3.06 3.42 4.42 2.73
18 4.52 2.48 2.98 2.95 3.75 3.15 3.16 3.45 4.46 2.74
19 4.57 2.73 3.13 2.97 3.78 3.16 3.21 3.5 4.47 2.77
20 4.59 2.93 3.22 2.97 3.82 3.19 3.21 3.59 4.48 2.87
21 4.67 2.95 3.28 3.0 3.88 3.24 3.28 3.62 4.58 2.87
22 4.69 2.96 3.3 3.0 3.93 3.25 3.32 3.68 4.75 2.96
23 4.79 3.03 3.45 3.02 3.94 3.28 3.33 3.71 4.76 2.99
24 4.79 3.06 3.45 3.02 3.96 3.4 3.34 3.75 4.8 3.04
25 4.84 3.24 3.45 3.03 4.05 3.41 3.35 3.76 4.83 3.2
26 4.87 3.3 3.47 3.03 4.09 3.42 3.36 3.77 4.86 3.22
27 4.93 3.33 3.49 3.07 4.19 3.45 3.4 3.78 4.92 3.3
28 4.95 3.35 3.51 3.08 4.23 3.53 3.4 3.81 5.06 3.32
29 4.99 3.35 3.52 3.14 4.28 3.56 3.41 3.89 5.11 3.33
30 5.02 3.41 3.56 3.16 4.36 3.68 3.42 3.95 5.11 3.37
31 5.04 3.42 3.62 3.19 4.37 3.69 3.51 3.99 5.21 3.43
32 5.08 3.47 3.65 3.21 4.41 3.7 3.57 4.08 5.22 3.46
33 5.11 3.47 3.67 3.32 4.43 3.7 3.61 4.11 5.22 3.49
34 5.11 3.49 3.68 3.33 4.44 3.72 3.62 4.13 5.26 3.52
35 5.14 3.57 3.71 3.35 4.5 3.72 3.71 4.15 5.3 3.53
36 5.14 3.57 3.72 3.37 4.63 3.76 3.72 4.16 5.3 3.57
37 5.18 3.66 3.73 3.44 4.63 3.77 3.76 4.19 5.33 3.61
38 5.19 3.68 3.75 3.45 4.65 3.79 3.76 4.23 5.36 3.62
39 5.21 3.71 3.77 3.45 4.78 3.82 3.77 4.25 5.36 3.63
40 5.22 3.72 3.8 3.48 4.78 3.84 3.79 4.26 5.37 3.67
41 5.26 3.73 3.8 3.49 4.8 3.84 3.8 4.29 5.38 3.68
42 5.3 3.75 3.81 3.59 4.83 3.86 3.81 4.31 5.39 3.7
43 5.3 3.79 3.82 3.6 4.84 3.88 3.84 4.32 5.39 3.71
44 5.3 3.79 3.83 3.61 4.88 3.89 3.88 4.43 5.4 3.72
45 5.32 3.79 3.87 3.62 4.9 3.89 3.88 4.44 5.41 3.78
46 5.34 3.86 3.88 3.62 4.92 3.9 3.89 4.45 5.45 3.83
47 5.34 3.89 3.89 3.64 4.92 3.9 3.9 4.46 5.54 3.85
48 5.35 3.91 3.89 3.67 4.95 3.93 3.9 4.46 5.55 3.88
49 5.36 3.93 3.92 3.67 4.95 3.95 3.9 4.52 5.56 3.95
50 5.37 3.96 3.96 3.73 4.96 3.99 3.91 4.6 5.63 3.99
